,Line
2197,"    “I got dressed before luncheon,” said the child, turning eagerly to  Daisy"
2198,    “That’s because your mother wanted to show you off
2199,” Her face bent  into the single wrinkle of the small white neck
2200," “You dream, you"
2201, You  absolute little dream
2202,"”    “Yes,” admitted the child calmly"
2203, “Aunt Jordan’s got on a white dress  too
2204,”    “How do you like mother’s friends
2205,” Daisy turned her around so that  she faced Gatsby
2206, “Do you think they’re pretty
2207,”    “Where’s Daddy
2208,"”    “She doesn’t look like her father,” explained Daisy"
2209, “She looks like  me
2210, She’s got my hair and shape of the face
2211,”    Daisy sat back upon the couch
2212, The nurse took a step forward and held  out her hand
2213,"    “Come, Pammy"
2214,"”    “Goodbye, sweetheart"
2215,"”    With a reluctant backward glance the well-disciplined child held to  her nurse’s hand and was pulled out the door, just as Tom came back,  preceding four gin rickeys that clicked full of ice"
2216,    Gatsby took up his drink
2217,"    “They certainly look cool,” he said, with visible tension"
2218,"    We drank in long, greedy swallows"
2219,"    “I read somewhere that the sun’s getting hotter every year,” said Tom  genially"
2220, “It seems that pretty soon the earth’s going to fall into  the sun—or wait a minute—it’s just the opposite—the sun’s getting  colder every year
2221,"    “Come outside,” he suggested to Gatsby, “I’d like you to have a look  at the place"
2222,”    I went with them out to the veranda
2223," On the green Sound, stagnant in  the heat, one small sail crawled slowly toward the fresher sea"
2224,  Gatsby’s eyes followed it momentarily; he raised his hand and pointed  across the bay
2225,    “I’m right across from you
2226,”    “So you are
2227,”    Our eyes lifted over the rose-beds and the hot lawn and the weedy  refuse of the dog-days alongshore
2228, Slowly the white wings of the boat  moved against the blue cool limit of the sky
2229, Ahead lay the scalloped  ocean and the abounding blessed isles
2230,"    “There’s sport for you,” said Tom, nodding"
2231, “I’d like to be out there  with him for about an hour
2232,"”    We had luncheon in the dining-room, darkened too against the heat, and  drank down nervous gaiety with the cold ale"
2233,    “What’ll we do with ourselves this afternoon
2234,"” cried Daisy, “and the  day after that, and the next thirty years"
2235,"”    “Don’t be morbid,” Jordan said"
2236, “Life starts all over again when it  gets crisp in the fall
2237,"”    “But it’s so hot,” insisted Daisy, on the verge of tears, “and  everything’s so confused"
2238, Let’s all go to town
2239,"”    Her voice struggled on through the heat, beating against it, moulding  its senselessness into forms"
2240,"    “I’ve heard of making a garage out of a stable,” Tom was saying to  Gatsby, “but I’m the first man who ever made a stable out of a  garage"
2241,”    “Who wants to go to town
2242,” demanded Daisy insistently
2243, Gatsby’s eyes  floated toward her
2244," “Ah,” she cried, “you look so cool"
2245,"”    Their eyes met, and they stared together at each other, alone in  space"
2246, With an effort she glanced down at the table
2247,"    “You always look so cool,” she repeated"
2248,"    She had told him that she loved him, and Tom Buchanan saw"
2249, He was  astounded
2250," His mouth opened a little, and he looked at Gatsby, and  then back at Daisy as if he had just recognized her as someone he knew  a long time ago"
2251,"    “You resemble the advertisement of the man,” she went on innocently"
2252,"  “You know the advertisement of the man—”    “All right,” broke in Tom quickly, “I’m perfectly willing to go to  town"
2253, Come on—we’re all going to town
2254,"”    He got up, his eyes still flashing between Gatsby and his wife"
2255, No one  moved
2256,    “Come on
2257,” His temper cracked a little
2258," “What’s the matter, anyhow"
2259,"  If we’re going to town, let’s start"
2260,"”    His hand, trembling with his effort at self-control, bore to his lips  the last of his glass of ale"
2261, Daisy’s voice got us to our feet and out  on to the blazing gravel drive
2262,    “Are we just going to go
2263,” she objected
2264, “Like this
2265, Aren’t we going  to let anyone smoke a cigarette first
2266,”    “Everybody smoked all through lunch
2267,"”    “Oh, let’s have fun,” she begged him"
2268, “It’s too hot to fuss
2269,”    He didn’t answer
2270,"    “Have it your own way,” she said"
2271," “Come on, Jordan"
2272,”    They went upstairs to get ready while we three men stood there  shuffling the hot pebbles with our feet
2273, A silver curve of the moon  hovered already in the western sky
2274," Gatsby started to speak, changed  his mind, but not before Tom wheeled and faced him expectantly"
2275,    “Have you got your stables here
2276,” asked Gatsby with an effort
2277,    “About a quarter of a mile down the road
2278,”    “Oh
2279,”    A pause
2280,"    “I don’t see the idea of going to town,” broke out Tom savagely"
2281,  “Women get these notions in their heads—”    “Shall we take anything to drink
2282,” called Daisy from an upper window
2283,"    “I’ll get some whisky,” answered Tom"
2284, He went inside
2285,"    Gatsby turned to me rigidly:    “I can’t say anything in his house, old sport"
2286,"”    “She’s got an indiscreet voice,” I remarked"
2287, “It’s full of—” I  hesitated
